# Program:featureCounts v1.4.6-p3; Command:"./subread-1.4.6-p3-MacOSX-x86_64/bin/featureCounts" "-t" "gene" "-g" "ID" "-F" "GTF" "-T" "4" "-a" "reference.gff" "-o" "counts.txt" "SRR10379721" "SRR10379722" "SRR10379723" "SRR10379724" "SRR10379725" "SRR10379726" 
Geneid	SRR10379721	SRR10379722	SRR10379723	SRR10379724	SRR10379725	SRR10379726
gene-SAOUHSC_00437	8787	15112	8634	6673	7467	1790
gene-SAOUHSC_00438	3378	4744	3425	1200	1564	360
gene-SAOUHSC_00439	2544	2920	2556	926	1040	231
gene-SAOUHSC_00440	452	352	412	58	30	16
gene-SAOUHSC_00441	1195	997	1110	1427	1782	365
gene-SAOUHSC_00442	12544	11760	12914	7074	8621	2074
gene-SAOUHSC_00444	5336	5220	5396	5008	7984	3386
gene-SAOUHSC_00445	10253	8059	9402	7482	9576	2645
gene-SAOUHSC_00446	56	52	51	18	16	4
gene-SAOUHSC_R0001	2533	1325	326	3764	2863	6343
gene-SAOUHSC_R0006	14233	15471	4153	12730	9215	19318
gene-SAOUHSC_R00011	7	21	15	1	1	6
gene-SAOUHSC_00450	1015	653	598	1308	1451	218
gene-SAOUHSC_00451	668	570	553	897	1109	116
gene-SAOUHSC_00452	5271	6001	4179	9293	13489	3014
gene-SAOUHSC_00453	246	200	193	650	1061	89
gene-SAOUHSC_00454	680	610	616	2188	2920	125
gene-SAOUHSC_00455	1582	1110	1340	1074	1651	360
gene-SAOUHSC_00456	1304	846	997	583	599	95
gene-SAOUHSC_00457	591	477	486	328	368	62
gene-SAOUHSC_00458	198	175	146	125	167	28
gene-SAOUHSC_00459	736	494	447	473	461	100
gene-SAOUHSC_00460	18	10	15	17	13	0
gene-SAOUHSC_00461	6934	5159	4904	12080	17678	1816
gene-SAOUHSC_00462	5301	3671	3870	6616	9268	3938
gene-SAOUHSC_00463	490	397	390	1260	2565	368
gene-SAOUHSC_00464	689	588	464	1751	2769	944
gene-SAOUHSC_00465	38556	37036	25575	26283	15736	1570
gene-SAOUHSC_00466	13408	13397	11700	10846	15103	4091
gene-SAOUHSC_00467	16846	15520	14600	14309	18461	2469
gene-SAOUHSC_00468	30469	29318	22091	56505	78672	25933
gene-SAOUHSC_00469	37282	36217	26224	57641	71679	34756
gene-SAOUHSC_00470	21	30	24	23	66	27
gene-SAOUHSC_00471	13800	14219	11649	17073	17251	10380
