"GeneID";"baseMean";"log2FoldChange";"lfcSE";"stat";"pvalue";"padj";"GeneName";"aaRS";"color"
"SAOUHSC_02493";15999,4843067052;0,413954796479997;0,287208143842787;1,44130591473266;0,149498277047221;0,216796281932211;"rpmD";FALSE;"grey"
"SAOUHSC_02494";51909,2641552324;-0,575429946047292;0,593353199141856;-0,969793281437623;0,3321495424217;0,424301260403246;"rpsE";FALSE;"grey"
"SAOUHSC_02495";29460,6890402515;0,218195489005131;0,28020767794593;0,778692042290274;0,436161144867808;0,526666989498214;"rplR";FALSE;"grey"
"SAOUHSC_02496";26215,5638503003;0,719109637519304;0,239104989660369;3,00750577618955;0,0026340111892032;0,00639125168725015;"rplF";FALSE;"red"
"SAOUHSC_02498";28065,9714357877;0,353807156674239;0,252862575685824;1,39920727974327;0,161750834206767;0,231253806354159;"rpsH";FALSE;"grey"
"SAOUHSC_02499";13930,6148135223;0,581044084446393;0,251523404438133;2,31009947461693;0,0208826475300294;0,0400238549366716;"rpsN";FALSE;"red"
"SAOUHSC_02500";35565,1575502695;0,294240302555656;0,311319121247338;0,945140476359905;0,344587163244809;0,436721914492378;"rplE";FALSE;"grey"
"SAOUHSC_02501";30521,8910090496;0,211100531231382;0,355527720722484;0,593766727394406;0,552668145997484;0,632182090883781;"rplX";FALSE;"grey"
"SAOUHSC_02502";31052,0286523672;0,210303753953922;0,440440826985816;0,477484695034176;0,633017016745321;0,706077300488766;"rplN";FALSE;"grey"
"SAOUHSC_02503";17771,1225442798;0,814607068372171;0,297037520672865;2,74243828364471;0,00609849088881903;0,0134728373028433;"rpsQ";FALSE;"red"
"SAOUHSC_02504";9893,77857459341;0,702786219106124;0,233747637134841;3,00660245263019;0,00264185012043464;0,0063998760667748;"rpmC";FALSE;"red"
"SAOUHSC_02505";33079,8368345875;-0,00684055928962416;0,519312677457276;-0,0131723325591005;0,989490303145733;0,991665803995449;"rplP";FALSE;"grey"
"SAOUHSC_02506";45908,934592683;0,2926602253782;0,410678462793863;0,712626182992942;0,476077105301523;0,564400035977315;"rpsC";FALSE;"grey"
"SAOUHSC_02507";22640,5514554755;-0,179729428268828;0,461634784334638;-0,389332507791576;0,697030191838665;0,75957338743037;"rplV";FALSE;"grey"
"SAOUHSC_02508";29098,7662353987;0,24090463285442;0,364644832060252;0,660655552125346;0,508833234470559;0,595999527313481;"rpsS";FALSE;"grey"
"SAOUHSC_02509";103960,226285724;-0,778088567012236;0,630768383921828;-1,23355670139083;0,217368135780346;0,298145361764918;"rplB";FALSE;"grey"
"SAOUHSC_02510";14284,913774981;0,143168273933153;0,292464267320566;0,4895239861088;0,624470777314918;0,699673244623434;"rplW";FALSE;"grey"
"SAOUHSC_02511";41427,7773352049;-0,324643354486841;0,546700855841633;-0,593822656427089;0,55263073382224;0,632182090883781;"rplD";FALSE;"grey"
"SAOUHSC_02512";48443,4980952091;-0,249720204509905;0,525269434041723;-0,475413546507771;0,634492240865206;0,706446907127163;"rplC";FALSE;"grey"
"SAOUHSC_03055";18542,7831727286;2,02885358334638;0,581692300448314;3,48784672202595;0,000486927134888275;0,00141675075948876;"rpmH";FALSE;"red"
"SAOUHSC_R0001";5517,22581007727;-3,19248362592922;0,9370473998403;-3,40696065799159;0,000656905949799828;0,00185987347070655;"rrsA";FALSE;"red"
"SAOUHSC_R00010";2447,56097472887;-1,63304805676318;0,879516589855862;-1,85675639959312;0,0633458193948582;0,104746563509635;"rrlF";FALSE;"grey"
"SAOUHSC_R00011";10,5829770463401;0,932315670895056;1,26336831037942;0,73796031073081;0,460538567701661;0,54907279104797;"rrfA";FALSE;"grey"
"SAOUHSC_R00012";73,1900833377;-1,23261036229147;0,969525376008791;-1,27135440989251;0,203602593788369;0,282379865117236;"rrfB";FALSE;"grey"
"SAOUHSC_R00013";6,2553402737745;-1,15743332274892;1,62846945462847;-0,710749175834546;0,477239680414536;0,565533156817052;"rrfC";FALSE;"grey"
"SAOUHSC_R00014";4,21027602530948;-1,43671584506498;1,50788976349688;-0,952798990911081;0,340691925683785;0,432787931604808;"rrfE";FALSE;"grey"
"SAOUHSC_R00015";4,98568998596484;-2,77254783512845;1,51183486250885;-1,83389595245044;0,0666694405212927;0,109514065961403;"rrfF";FALSE;"grey"
"SAOUHSC_R00016";91,4732084238715;0,169635558523248;0,824309903570018;0,20579099897814;0,836954172494808;0,874358159577273;"rrfC";FALSE;"grey"
"SAOUHSC_R0002";5960,72801710976;-3,1982342235123;0,941113109913726;-3,39835264201716;0,000677929732472883;0,00190951371607965;"rrsB";FALSE;"red"
"SAOUHSC_R0003";806,924592973667;-2,92379143031234;0,939025208631959;-3,11364530306054;0,00184791494144492;0,00467967348597394;"rrsD";FALSE;"red"
